Ref,Qty,Value,Description,Manf,Manf#,Installed,Footprint
"C1, C4, C7, C16, C22, C24, C37, C38, C39, C40, C41, C42, C43, C44, C46, C47, C50, C51, C52, C53, C54, C55, C65, C70, C71, C73, C74, C76, C77, C78, C79",31,100n_X7R_1608M,"CAP, MLCC, X7R, 100NF, 50V, 0603",KEMET,C0603C104K5RACAUTO, ,CAPC1608X90N
C10,1,15p_X7R_1608M,"CAP, MLCC, C0G/NP0, 15PF, 50V, 5%, 0603, 1608M",TDK,C1608C0G1H150J080AA, ,CAPC1608X90N
"C11, C12, C26, C34, C35, C36, C45",7,1u_X7R_1608M,"CAP, MLCC, X7R, 1UF, 50V, 0603",muRata,GRM188R61H105KAALD,b,CAPC1608X90N
C13,1,1n5_X7R_1608M,"CAP, MLCC, X7R, 1500PF, 50V, 10%, 0603, 1608M",muRata,GRM188R71H152KA01D, ,CAPC1608X90N
"C14, C29, C48, C49",4,22p_X7R_1608M,"CAP, MLCC, X7R, 22PF, 50V, 0603",MULTICOMP,MC0603N220K500CT, ,CAPC1608X90N
"C15, C17, C31, C32, C33, C72",6,22u_X7R_3225M,"CAP, MLCC, X7R, 22UF, 25V, 10%, 1210, 3225M",muRata,C1210C226K3RACTU,b,CAPC3225X170N
C18,1,330p_X7R_1608M,"CAP, MLCC, X7R, 330PF, 50V, 0603, 1608M",AVX,06035A331JAT2A, ,CAPC1608X90N
"C19, C20, C23",3,1u_X7R_2012M,"CAP, MLCC, X7R, 1UF, 16V, 0805, 2012M",muRata,GRM21BR71C105KA01L, ,CAPC2012X110N
C2,1,47u_ELEC_100V_1350X1350M,"CAP, ALU ELEC, 47UF, 100V, 320mOhm, AEC-Q200, 5000 hour, SMD",PANASONIC,EEV-FK2A470Q,b,CAPAE1350X1350D1490DD450L470N
"C25, C27, C28, C30",4,47u_TANT_7343M,"CAP, TANT, 47UF, 16V, 7343-31",KEMET,T520D476M016ATE035,b,CAPPM7343X310N
"C3, C21, C75, C80",4,10u_X7R_3225M,"CAP, MLCC, X7R, 10UF, 25V, 1210 3225M",WURTH ELEKTRONIK,885012209028, ,CAPC3225X170N
"C5, C6, C8, C9",4,2u2_X7R_4532M,"CAP, MLCC, X7R, 2.2UF, 100V, 1812, 4532M",TDK,C4532X7R2A225M230KA,b,CAPC4532X180N
"C56, C57, C58, C59",4,10n_X7R_1608M,"CAP, MLCC, X7R, 10NF, 25V, 0603",AVX,06033C103KAT2A, ,CAPC1608X90N
"C60, C61, C62, C63, C64, C66, C67, C68, C69",9,1n_X7R_1608M,"CAP, MLCC, X7R, 1NF, 100V, 0603",AVX,06031C102KAT2A, ,CAPC1608X90N
"D1, D6, D7, D8, D9, D14, D15, D16, D17, D18, D19, D20, D21, D22, D23",15,BAV99,"DIODE DUAL, 100V, 215mA, 4ns, SOT23",NXP,BAV99,b,SOT95P240X110-3L16N
"D10, D11, D12, D13",4,3V3,"DIODE, Zener 3V3, 500mW, SOD123",VISAY SEMICONDUCTOR,MMSZ5226, ,SOD3715X145N
"D2, D3",2,200V_350mW_SOT23,"CMPD2003C DIODE DUAL, Common Cathode, 200V, 200mA, 4A peak, 350mW, SOT23-3",Central Semiconductor,CMPD2003C-TR,b,SOT95P240X110-3L16N
D24,1,LED_RED_1608M,"DIALIGHT ChipLED Red, 0603, 1608M",DIALIGHT,5988010107F, ,LEDC1608X80L40N
D4,1,LED_YELLOW_1608M,"DIALIGHT ChipLED Yellow, 0603, 1608M",DIALIGHT,5988040107F, ,LEDC1608X80L40N
D5,1,LED_GREEN_1608M,"DIALIGHT ChipLED Green, 0603, 1608M",DIALIGHT,5988070107F, ,LEDC1608X80L40N
"F1, F2",2,0.5A_1210L_PTC,"FUSE, RESETTABLE, PTC, 13.2VDC, 500mA, SMD, 1210L050",LittelFuse, 1210L050YR,b,FUSC3225X85L50N
"FB1, FB2",2,1K_1608M,"FERRITE BEAD, 1Kohm @ 100MHz, 0.6Ohm, 100mA, 0603, 1608M",muRata,BLM18TG102TN1D,b,INDC1608X95N
"L1, L2",2,22u_MCSDRH73B,"INDUCTOR, 22UH, 1.83A, Shielded, 0.13ohm",MULTICOMP,MCSDRH73B-220MHF, ,INDM7373X355L170X207N
L3,1,10u2_PA2050,"INDUCTOR, 10.2UH, 12.5A, 10%, 0.0058ohm",PULSE ELECTRONICS,PA2050.103NL,b,PULSE_PA2050
LS1,1,PKMCS0909E4000-R1,"Murata Buzzer, passive, piezo transducer, 12V, 9x9x1.9mm, SMD, top firing",muRata,PKMCS0909E4000-R1,b,MURATA_PKMCS0909E4000
P1,1,MOLEX_43160-0102,"AS7.5mm pitch, Vertical, PTH, 2 contacts",MOLEX,043160-0102,b,Molex_Sabre_43160-0102_VERT
"P11, P12, P13, P14",4,MOLEX_MINIFIT_JR_2x4_WAY,"CONNECTOR, SOCKET, 8POS, 2ROW, MINI-FIT JR, 5566 series, 4.2MM pitch, PTH",MOLEX,172447-0208,b,Molex_Mini-Fit_Jr_5566-08A_2x04_P4.20mm_Vertical
P15,1,MOLEX_NANOFIT_2x4_WAY,"CONNECTOR, SOCKET, 8POS, 2ROW, Nano-fit, 105310 series, 2.5MM pitch, PTH",MOLEX,105310-1108,b,Molex_Nano-Fit_105310-xx08_2x04_VERT
P16,1,MOLEX_NANOFIT_1x6_WAY,"PCB Socket, 2.5mm pitch, 105309 series, Vertical, PTH, 6-WAY, 1-ROW",MOLEX,105313-1106,b,Molex_Nano-Fit_105309-xx06_1x06_VERT
P17,1,MOLEX_NANOFIT_2x3_WAY,"PCB Socket, 2.5mm pitch, 105310 series, Vertical, PTH, 6-WAY, 2-ROW",MOLEX,105310-1204,b,Molex_Nano-Fit_105310-xx06_2x03_VERT
P18,1,CONN_01X02,"Pin Header, 2.54mm, Vertical, PTH, 2 Way, 1 Row, 01x02",WURTH,61300211121, ,61300211121
P19,1,MOLEX_KK2.54_1x4_WAY_FAN,"CONNECTOR, SOCKET, 4POS, 1ROW, KK 2.54, 2.54mm pitch, PWM fan header, PTH",MOLEX,47053-1000,b,MOLEX_47053-1000
"P2, P3, P4, P5",4,MOLEX_MINIFIT_JR_2x2_WAY,"CONNECTOR, SOCKET, 4POS, 2ROW, MINI-FIT JR, 5566 series, 4.2MM pitch, Vertical PTH",MOLEX,172447-0204,b,Molex_Mini-Fit_Jr_5566-04A_2x02_P4.20mm_Vertical
P20,1,CONN_01X06,"Pin Header, 2.54mm, Vertical, PTH, 6 Way, 1 Row, 01x06",WURTH,61300611121, ,61300611121
P21,1,MOLEX_NANOFIT_2x5_WAY,"CONNECTOR, SOCKET, 10POS, 2ROW, Nano-fit, 105310 series, 2.5MM pitch, PTH",MOLEX,105310-1110,b,Molex_Nano-Fit_105310-xx10_2x05_VERT
"Q1, Q2",2,Si7852DP,"MOSFET N-CH, 80V, 12.5A, 16.5mOhm, SOT-23",Vishay,SI7852DP-T1-GE3,b,SON127P490X575X90-9T313X381N
"Q3, Q6",2,2N7002P,MOSFET N-CH 60V 0.36A SOT-23,Fairchild," 2N7002,215",b,SOT95P240X110-3L16N
Q4,1,NTR1P02T1G,"MOSFET, P-CH, 1A, -20V, 0.148ohm, -10V, -1.9V",On Semi,NTR1P02T1G,b,SOT95P240X110-3L16N
Q5,1,BC847B,"Transistor, NPN, 45V, 100MHz, 250mW, 100mA, 250mW, SOT-23",Multicomp,BC847B,b,SOT95P240X110-3L16N
"R1, R2",2,130K_1608M,"RESISTOR, THICK FILM, 130K, 100mW, 5%, 0603, 1608M",PANASONIC,ERJ3GEYJ134V, ,RESC1608X50N
"R10, R44, R45, R46, R47",5,22K_1608M,"RESISTOR, THICK FILM, 22K, 100mW, 1%, 0603, 1608M",MULTICOMP,MCMR06X2202FTL, ,RESC1608X50N
R11,1,102K_1608M,"RESISTOR, THICK FILM, 102K, 100mW, 0.1%, 0603, 1608M",MULTICOMP,MCWF06R1023BTL, ,RESC1608X50N
R12,1,9K53_1608M,"RESISTOR, THICK FILM, 9.53K, 100mW, 1%, 0603, 1608M",VISHAY,CRCW06039K53FKEA, ,RESC1608X50N
R13,1,39K_1608M,No description,PANASONIC,MCMR06X2202FTL, ,RESC1608X50N
R14,1,1K2_1608M,"RESISTOR, THICK FILM, 1K2, 100mW, 1%, 0603, 1608M",VISHAY,CRCW06031K20FKEA, ,RESC1608X50N
R15,1,10K7_1608M,"RESISTOR, THICK FILM, 10.7K, 100mW, 1%, 0603, 1608M",PANASONIC,ERJ3EKF1072V, ,RESC1608X50N
R16,1,750K_1608M,"RESISTOR, THICK FILM, 750K, 100mW, 1%, 0603, 1608M",MULTICOMP,MCSR06X7503FTL, ,RESC1608X50N
